image_name,sample,total_pollen,tails,no_tails,ph,treatment,incubation_temperature_°C,days_after_first_anthesis,germination_percent
control3_7_pollen3_10_ph5-5_d1st_r2_pic0005.jpg,3_011,36,24,12,5.5,0.03,22,4,66.66666667
control3_7_pollen3_10_ph5-5_d1st_r2_pic0006.jpg,3_011,31,21,10,5.5,0.03,22,4,67.74193548
control3_7_pollen3_10_ph5-5_d1st_r2_pic0007.jpg,3_011,33,23,10,5.5,0.03,22,4,69.6969697
control3_7_pollen3_10_ph5-5_d1st_r2_pic0008.jpg,3_011,30,20,10,5.5,0.03,22,4,66.66666667
control3_7_pollen3_10_ph5-5_d1st_r2_pic0009.jpg,3_011,23,19,4,5.5,0.03,22,4,82.60869565
control3_7_pollen3_10_ph5-5_d1st_r2_pic0010.jpg,3_011,42,30,12,5.5,0.03,22,4,71.42857143
control3_7_pollen3_10_ph5-5_d1st_r2_pic0011.jpg,3_011,37,21,16,5.5,0.03,22,4,56.75675676
control3_7_pollen3_10_ph5-5_d1st_r2_pic0012.jpg,3_011,27,26,1,5.5,0.03,22,4,96.2962963
control3_7_pollen3_10_ph5-5_d1st_r3_pic0001.jpg,3_012,26,20,6,5.5,0.03,22,4,76.92307692
control3_7_pollen3_10_ph5-5_d1st_r3_pic0002.jpg,3_012,34,29,5,5.5,0.03,22,4,85.29411765
control3_7_pollen3_10_ph5-5_d1st_r3_pic0003.jpg,3_012,32,19,13,5.5,0.03,22,4,59.375
control3_7_pollen3_10_ph5-5_d1st_r3_pic0004.jpg,3_012,37,20,17,5.5,0.03,22,4,54.05405405
control3_7_pollen3_10_ph5-5_d1st_r3_pic0005.jpg,3_012,19,19,0,5.5,0.03,22,4,100
control3_7_pollen3_10_ph5-5_d1st_r3_pic0006.jpg,3_012,24,22,2,5.5,0.03,22,4,91.66666667
control3_7_pollen3_10_ph5-5_d1st_r3_pic0007.jpg,3_012,20,15,5,5.5,0.03,22,4,75
control3_7_pollen3_10_ph5-5_d1st_r3_pic0008.jpg,3_012,29,11,18,5.5,0.03,22,4,37.93103448
control3_7_pollen3_10_ph5-5_d1st_r3_pic0009.jpg,3_012,28,15,13,5.5,0.03,22,4,53.57142857
control3_7_pollen3_10_ph5-5_d1st_r3_pic0010.jpg,3_012,33,17,16,5.5,0.03,22,4,51.51515152
control3_7_pollen3_10_ph5-5_d1st_r3_pic0011.jpg,3_012,31,21,10,5.5,0.03,22,4,67.74193548
control3_7_pollen3_10_ph5-5_d1st_r3_pic0012.jpg,3_012,25,19,6,5.5,0.03,22,4,76
control3_7_pollen3_10_ph5-5_d1st_r3_pic0013.jpg,3_012,26,18,8,5.5,0.03,22,4,69.23076923
control3_7_pollen3_10_ph5-5_d1st_r3_pic0014.jpg,3_012,35,19,16,5.5,0.03,22,4,54.28571429
control3_7_pollen3_10_ph5-5_d1st_r4_pic0001.jpg,3_013,48,28,20,5.5,0.03,22,4,58.33333333
control3_7_pollen3_10_ph5-5_d1st_r4_pic0002.jpg,3_013,34,19,15,5.5,0.03,22,4,55.88235294
control3_7_pollen3_10_ph5-5_d1st_r4_pic0003.jpg,3_013,43,29,14,5.5,0.03,22,4,67.44186047
control3_7_pollen3_10_ph5-5_d1st_r4_pic0004.jpg,3_013,41,20,21,5.5,0.03,22,4,48.7804878
control3_7_pollen3_10_ph5-5_d1st_r4_pic0005.jpg,3_013,31,16,15,5.5,0.03,22,4,51.61290323
control3_7_pollen3_10_ph5-5_d1st_r4_pic0006.jpg,3_013,39,28,11,5.5,0.03,22,4,71.79487179
control3_7_pollen3_10_ph5-5_d1st_r4_pic0007.jpg,3_013,29,23,6,5.5,0.03,22,4,79.31034483
control3_7_pollen3_10_ph5-5_d1st_r4_pic0008.jpg,3_013,23,20,3,5.5,0.03,22,4,86.95652174
control3_7_pollen3_10_ph5-5_d1st_r4_pic0009.jpg,3_013,32,22,10,5.5,0.03,22,4,68.75
control3_7_pollen3_10_ph5-5_d1st_r4_pic0010.jpg,3_013,20,15,5,5.5,0.03,22,4,75
control3_7_pollen3_10_ph5-5_d1st_r4_pic0011.jpg,3_013,23,18,5,5.5,0.03,22,4,78.26086957
