image,sample,genotype ,pollen_growth_temp,pollen_incubation_temp_c,rounds,pollen_image,treatment,tails,no_tails,total_pollen,pollen_germination,
control3_7_pollen3_10_ph6-5_r1_pic0003.jpg,ph6_017,QQ74,22,22,Round-4,3/12/21,6.5,10,29,39,25.64102564,
control3_7_pollen3_10_ph6-5_r1_pic0004.jpg,ph6_017,QQ74,22,22,Round-4,3/12/21,6.5,10,38,48,20.83333333,
control3_7_pollen3_10_ph6-5_r1_pic0005.jpg,ph6_017,QQ74,22,22,Round-4,3/12/21,6.5,10,35,45,22.22222222,
control3_7_pollen3_10_ph6-5_r1_pic0006.jpg,ph6_017,QQ74,22,22,Round-4,3/12/21,6.5,5,23,28,17.85714286,
control3_7_pollen3_10_ph6-5_r1_pic0007.jpg,ph6_017,QQ74,22,22,Round-4,3/12/21,6.5,3,31,34,8.823529412,
control3_7_pollen3_10_ph6-5_r1_pic0008.jpg,ph6_018,QQ74,22,22,Round-4,3/12/21,6.5,4,25,29,13.79310345,
control3_7_pollen3_10_ph6-5_r1_pic0009.jpg,ph6_018,QQ74,22,22,Round-4,3/12/21,6.5,5,21,26,19.23076923,
control3_7_pollen3_10_ph6-5_r1_pic0010.jpg,ph6_018,QQ74,22,22,Round-4,3/12/21,6.5,5,26,31,16.12903226,
control3_7_pollen3_10_ph6-5_r1_pic0011.jpg,ph6_018,QQ74,22,22,Round-4,3/12/21,6.5,21,71,92,22.82608696,
control3_7_pollen3_10_ph6-5_r1_pic0012.jpg,ph6_018,QQ74,22,22,Round-4,3/12/21,6.5,10,82,92,10.86956522,
control3_7_pollen3_10_ph6-5_r1_pic0013.jpg,ph6_018,QQ74,22,22,Round-4,3/12/21,6.5,9,55,64,14.0625,
control3_7_pollen3_10_ph6-5_r1_pic0014.jpg,ph6_018,QQ74,22,22,Round-4,3/12/21,6.5,8,40,48,16.66666667,
control3_7_pollen3_10_ph6-5_r2_pic0001.jpg,ph6_019,QQ74,22,22,Round-4,3/12/21,6.5,14,30,44,31.81818182,
control3_7_pollen3_10_ph6-5_r2_pic0002.jpg,ph6_019,QQ74,22,22,Round-4,3/12/21,6.5,10,23,33,30.3030303,
control3_7_pollen3_10_ph6-5_r2_pic0003.jpg,ph6_019,QQ74,22,22,Round-4,3/12/21,6.5,11,51,62,17.74193548,
control3_7_pollen3_10_ph6-5_r2_pic0004.jpg,ph6_019,QQ74,22,22,Round-4,3/12/21,6.5,11,75,86,12.79069767,
control3_7_pollen3_10_ph6-5_r2_pic0005.jpg,ph6_019,QQ74,22,22,Round-4,3/12/21,6.5,17,112,129,13.17829457,
control3_7_pollen3_10_ph6-5_r2_pic0006.jpg,ph6_019,QQ74,22,22,Round-4,3/12/21,6.5,17,144,161,10.55900621,
control3_7_pollen3_10_ph6-5_r2_pic0007.jpg,ph6_019,QQ74,22,22,Round-4,3/12/21,6.5,9,71,80,11.25,
control3_7_pollen3_10_ph6-5_r2_pic0008.jpg,ph6_019,QQ74,22,22,Round-4,3/12/21,6.5,10,67,77,12.98701299,
control3_7_pollen3_10_ph6-5_r2_pic0009.jpg,ph6_019,QQ74,22,22,Round-4,3/12/21,6.5,12,83,95,12.63157895,
control3_7_pollen3_10_ph6-5_r2_pic0010.jpg,ph6_019,QQ74,22,22,Round-4,3/12/21,6.5,8,75,83,9.638554217,
cq401_h10-27_ph006-5_p1_0001 counted.png,cph6_001,Cherry vanilla,22,22,Round-1,10/27/20,6.5,32,14,46,69.5652174,
cq401_h10-27_ph006-5_p1_0002 counted.png,cph6_001,Cherry vanilla,22,22,Round-1,10/27/20,6.5,48,5,53,90.5660377,
cq401_h10-27_ph006-5_p1_0003 counted.png,cph6_001,Cherry vanilla,22,22,Round-1,10/27/20,6.5,21,9,30,70,
cq401_h10-27_ph006-5_p1_0005 counted.png,cph6_001,Cherry vanilla,22,22,Round-1,10/27/20,6.5,36,10,46,78.2608696,
cq401_h10-27_ph006-5_p1_0006 counted.png,cph6_001,Cherry vanilla,22,22,Round-1,10/27/20,6.5,29,7,36,80.5555556,
cq401_h10-27_ph006-5_p1-0010 counted.png,cph6_002,Cherry vanilla,22,22,Round-1,10/27/20,6.5,22,10,32,68.75,
cq401_h10-27_ph006-5_p2_0001 counted.png,cph6_002,Cherry vanilla,22,22,Round-1,10/27/20,6.5,26,28,54,48.1481482,
cq401_h10-27_ph006-5_p2_0002 counted.png,cph6_002,Cherry vanilla,22,22,Round-1,10/27/20,6.5,60,48,108,55.5555556,
cq401_h10-27_ph006-5_p2_0003 counted.png,cph6_002,Cherry vanilla,22,22,Round-1,10/27/20,6.5,72,25,97,74.2268041,
cq401_h10-27_ph006-5_p2_0004 counted.png,cph6_002,Cherry vanilla,22,22,Round-1,10/27/20,6.5,50,7,57,87.7192983,
cq401_h10-27_ph006-5_p2_0005 counted.png,cph6_002,Cherry vanilla,22,22,Round-1,10/27/20,6.5,42,48,90,46.6666667,
cq401_h10-27_ph006-5_p3_0001 counted.png,cph6_003,Cherry vanilla,22,22,Round-1,10/27/20,6.5,17,12,29,58.6206897,
cq401_h10-27_ph006-5_p3_0002 counted.png,cph6_003,Cherry vanilla,22,22,Round-1,10/27/20,6.5,30,8,38,78.9473684,
cq401_h10-27_ph006-5_p3_0003 counted.png,cph6_003,Cherry vanilla,22,22,Round-1,10/27/20,6.5,15,16,31,48.3870968,
cq401_h10-27_ph006-5_p3_0004 counted.png,cph6_003,Cherry vanilla,22,22,Round-1,10/27/20,6.5,26,10,36,72.2222222,
cq401_h10-27_ph006-5_p3_0005 counted.png,cph6_003,Cherry vanilla,22,22,Round-1,10/27/20,6.5,17,9,26,65.3846154,
cq401_h10-28_ph6-5_p3_0006 counted.png,cph6_004,Cherry vanilla,22,22,Round-1,10/28/20,6.5,21,30,51,41.1764706,
