image,sample,genotype ,days_after_first_anthesis,tails,no_tails,total_pollen,pollen_germination
control3_8_pollen3_10_ph5-5_d1st_r1_pic0009.jpg,3_001,QQ74,3,16,13,29,55.17241379
control3_8_pollen3_10_ph5-5_d1st_r1_pic0010.jpg,3_001,QQ74,3,27,22,49,55.10204082
control3_8_pollen3_10_ph5-5_d1st_r2_pic0001.jpg,3_002,QQ74,3,18,18,36,50
control3_8_pollen3_10_ph5-5_d1st_r2_pic0002.jpg,3_002,QQ74,3,13,31,44,29.54545455
control3_8_pollen3_10_ph5-5_d1st_r2_pic0003.jpg,3_002,QQ74,3,11,30,41,26.82926829
control3_8_pollen3_10_ph5-5_d1st_r2_pic0004.jpg,3_002,QQ74,3,12,33,45,26.66666667
control3_8_pollen3_10_ph5-5_d1st_r2_pic0005.jpg,3_002,QQ74,3,23,14,37,62.16216216
control3_8_pollen3_10_ph5-5_d1st_r2_pic0006.jpg,3_002,QQ74,3,15,24,39,38.46153846
control3_8_pollen3_10_ph5-5_d1st_r2_pic0007.jpg,3_002,QQ74,3,8,19,27,29.62962963
control3_8_pollen3_10_ph5-5_d1st_r2_pic0008.jpg,3_002,QQ74,3,15,20,35,42.85714286
control3_8_pollen3_10_ph5-5_d1st_r2_pic0009.jpg,3_002,QQ74,3,16,13,29,55.17241379
control3_8_pollen3_10_ph5-5_d1st_r2_pic0010.jpg,3_002,QQ74,3,20,18,38,52.63157895
control3_8_pollen3_10_ph5-5_d1st_r3_pic0001.jpg,3_003,QQ74,3,13,56,69,18.84057971
control3_8_pollen3_10_ph5-5_d1st_r3_pic0002.jpg,3_003,QQ74,3,15,60,75,20
control3_8_pollen3_10_ph5-5_d1st_r3_pic0003.jpg,3_003,QQ74,3,14,49,63,22.22222222
control3_8_pollen3_10_ph5-5_d1st_r3_pic0004.jpg,3_003,QQ74,3,13,20,33,39.39393939
control3_8_pollen3_10_ph5-5_d1st_r3_pic0005.jpg,3_003,QQ74,3,31,30,61,50.81967213
control3_8_pollen3_10_ph5-5_d1st_r3_pic0006.jpg,3_003,QQ74,3,43,3,46,93.47826087
control3_8_pollen3_10_ph5-5_d1st_r3_pic0007.jpg,3_003,QQ74,3,21,22,43,48.8372093
control3_8_pollen3_10_ph5-5_d1st_r3_pic0008.jpg,3_003,QQ74,3,9,17,26,34.61538462
control3_8_pollen3_10_ph5-5_d1st_r3_pic0009.jpg,3_003,QQ74,3,9,18,27,33.33333333
control3_8_pollen3_10_ph5-5_d1st_r3_pic0010.jpg,3_003,QQ74,3,15,29,44,34.09090909
control3_8_pollen3_10_ph5-5_d1st_r4_pic0001.jpg,3_004,QQ74,3,20,17,37,54.05405405
control3_8_pollen3_10_ph5-5_d1st_r4_pic0002.jpg,3_004,QQ74,3,18,11,29,62.06896552
control3_8_pollen3_10_ph5-5_d1st_r4_pic0003.jpg,3_004,QQ74,3,19,2,21,90.47619048
control3_8_pollen3_10_ph5-5_d1st_r4_pic0004.jpg,3_004,QQ74,3,18,8,26,69.23076923
control3_8_pollen3_10_ph5-5_d1st_r4_pic0005.jpg,3_004,QQ74,3,12,14,26,46.15384615
control3_8_pollen3_10_ph5-5_d1st_r4_pic0006.jpg,3_004,QQ74,3,20,17,37,54.05405405
control3_8_pollen3_10_ph5-5_d1st_r4_pic0007.jpg,3_004,QQ74,3,16,18,34,47.05882353
control3_8_pollen3_10_ph5-5_d1st_r4_pic0008.jpg,3_004,QQ74,3,9,30,39,23.07692308
control3_8_pollen3_10_ph5-5_d1st_r4_pic0009.jpg,3_004,QQ74,3,19,8,27,70.37037037
control3_8_pollen3_10_ph5-5_d1st_r4_pic0010.jpg,3_004,QQ74,3,16,14,30,53.33333333
