image_name,sample ,genotype,total_pollen,tails,no_tails,hours_incubation,incubation_temperature_°C,days_after_first_anthesis,percent_germinated
cq329_timecourse_72h_fa7_19_p7_22_d3_004.jpg,72_003,QQ74,12,11,1,72,22,3,91.6666667
cq329_timecourse_72h_fa7_19_p7_22_d3_005.jpg,72_003,QQ74,29,12,17,72,22,3,41.3793103
cq329_timecourse_72h_fa7_19_p7_22_d4_0001.jpg,72_004,QQ74,27,12,15,72,22,3,44.4444444
cq329_timecourse_72h_fa7_19_p7_22_d4_0002.jpg,72_004,QQ74,24,19,5,72,22,3,79.1666667
cq329_timecourse_72h_fa7_19_p7_22_d4_0003.jpg,72_004,QQ74,21,12,9,72,22,3,57.1428571
cq329_timecourse_72h_fa7_19_p7_22_d4_0004.jpg,72_004,QQ74,20,15,5,72,22,3,75
cq329_timecourse_72h_fa7_19_p7_22_d4_0005.jpg,72_004,QQ74,38,17,21,72,22,3,44.7368421
cq329_timecourse_72h_fa7_19_p7_22_d5_0001.jpg,72_005,QQ74,38,24,14,72,22,3,63.1578947
cq329_timecourse_72h_fa7_19_p7_22_d5_0002.jpg,72_005,QQ74,45,18,27,72,22,3,40
cq329_timecourse_72h_fa7_19_p7_22_d5_0003.jpg,72_005,QQ74,29,25,4,72,22,3,86.2068966
cq329_timecourse_72h_fa7_19_p7_22_d5_0004.jpg,72_005,QQ74,20,18,2,72,22,3,90
cq329_timecourse_72h_fa7_19_p7_22_d5_0005.jpg,72_005,QQ74,18,18,0,72,22,3,100
