image_name,sample,treatment,total_pollen,tails,no_tails,ph,pollen_treatment,incubation_temperature_°C,DAFA,germination_percent
cq329_8gsucrose_FA6_13_p6_17_d1_0002.jpg,8_006,8,45,0,45,5.5,control,22,3,0
cq329_8gsucrose_FA6_13_p6_17_d1_0003.jpg,8_006,8,43,1,42,5.5,control,22,3,2.325581395
cq329_8gsucrose_FA6_13_p6_17_d1_0004.jpg,8_006,8,31,1,30,5.5,control,22,3,3.225806452
cq329_8gsucrose_FA6_13_p6_17_d1_0005.jpg,8_006,8,48,0,48,5.5,control,22,3,0
cq329_8gsucrose_FA6_13_p6_17_d1_0006.jpg,8_006,8,111,0,111,5.5,control,22,3,0
cq329_8gsucrose_FA6_13_p6_17_d1_0007.jpg,8_006,8,110,0,110,5.5,control,22,3,0
cq329_8gsucrose_FA6_13_p6_17_d1_0008.jpg,8_006,8,97,0,97,5.5,control,22,3,0
cq329_8gsucrose_FA6_13_p6_17_d1_0009.jpg,8_006,8,110,0,110,5.5,control,22,3,0
cq329_8gsucrose_FA6_13_p6_17_d1_0010.jpg,8_006,8,46,1,45,5.5,control,22,3,2.173913043
cq329_8gsucrose_FA6_13_p6_17_d2_0001.jpg,8_007,8,57,0,57,5.5,control,22,3,0
cq329_8gsucrose_FA6_13_p6_17_d2_0002.jpg,8_007,8,39,0,39,5.5,control,22,3,0
cq329_8gsucrose_FA6_13_p6_17_d2_0003.jpg,8_007,8,41,0,41,5.5,control,22,3,0
cq329_8gsucrose_FA6_13_p6_17_d2_0004.jpg,8_007,8,53,0,53,5.5,control,22,3,0
cq329_8gsucrose_FA6_13_p6_17_d2_0005.jpg,8_007,8,45,0,45,5.5,control,22,3,
cq329_8gsucrose_FA6_13_p6_17_d2_0006.jpg,8_007,8,51,0,51,5.5,control,22,3,0
cq329_8gsucrose_FA6_13_p6_17_d2_0007.jpg,8_007,8,67,0,67,5.5,control,22,3,0
cq329_8gsucrose_FA6_13_p6_17_d2_0008.jpg,8_007,8,61,0,61,5.5,control,22,3,0
cq329_8gsucrose_FA6_13_p6_17_d2_0009.jpg,8_007,8,56,0,56,5.5,control,22,3,0
cq329_8gsucrose_FA6_13_p6_17_d2_0010.jpg,8_007,8,59,0,59,5.5,control,22,3,0
cq329_8gsucrose_FA6_13_p6_17_d3_0001.jpg,8_008,8,47,0,47,5.5,control,22,3,0
cq329_8gsucrose_FA6_13_p6_17_d3_0002.jpg,8_008,8,80,0,80,5.5,control,22,3,0
cq329_8gsucrose_FA6_13_p6_17_d3_0003.jpg,8_008,8,74,0,74,5.5,control,22,3,0
cq329_8gsucrose_FA6_13_p6_17_d3_0004.jpg,8_008,8,49,0,49,5.5,control,22,3,0
cq329_8gsucrose_FA6_13_p6_17_d3_0005.jpg,8_008,8,50,0,50,5.5,control,22,3,0
cq329_8gsucrose_FA6_13_p6_17_d3_0006.jpg,8_008,8,112,0,112,5.5,control,22,3,0
cq329_8gsucrose_FA6_13_p6_17_d3_0007.jpg,8_008,8,170,0,170,5.5,control,22,3,0
cq329_8gsucrose_FA6_13_p6_17_d3_0008.jpg,8_008,8,107,0,107,5.5,control,22,3,0
cq329_8gsucrose_FA6_13_p6_17_d3_0009.jpg,8_008,8,49,0,49,5.5,control,22,3,0
cq329_8gsucrose_FA6_13_p6_17_d3_0010.jpg,8_008,8,140,0,140,5.5,control,22,3,0
cq329_8gsucrose_FA6_13_p6_17_d4_0001.jpg,8_009,8,48,0,48,5.5,control,22,3,0
cq329_8gsucrose_FA6_13_p6_17_d4_0002.jpg,8_009,8,74,1,73,5.5,control,22,3,1.351351351
cq329_8gsucrose_FA6_13_p6_17_d4_0003.jpg,8_009,8,89,0,89,5.5,control,22,3,0
cq329_8gsucrose_FA6_13_p6_17_d4_0004.jpg,8_009,8,65,0,65,5.5,control,22,3,0
cq329_8gsucrose_FA6_13_p6_17_d4_0005.jpg,8_009,8,59,1,58,5.5,control,22,3,1.694915254
cq329_8gsucrose_FA6_13_p6_17_d4_0006.jpg,8_009,8,64,0,64,5.5,control,22,3,0
cq329_8gsucrose_FA6_13_p6_17_d4_0007.jpg,8_009,8,103,0,103,5.5,control,22,3,0
cq329_8gsucrose_FA6_13_p6_17_d4_0008.jpg,8_009,8,55,0,55,5.5,control,22,3,0
cq329_8gsucrose_FA6_13_p6_17_d4_0009.jpg,8_009,8,53,0,53,5.5,control,22,3,0
cq329_8gsucrose_FA6_13_p6_17_d4_0010.jpg,8_009,8,106,0,106,5.5,control,22,3,0
cq329_16g_sucrose_fa6_9_p6_12_d1_0001.jpg,16_001,16,44,13,31,5.5,control,22,3,29.54545455
cq329_16g_sucrose_fa6_9_p6_12_d1_0002.jpg,16_001,16,66,13,53,5.5,control,22,3,19.6969697
cq329_16g_sucrose_fa6_9_p6_12_d1_0003.jpg,16_001,16,52,21,31,5.5,control,22,3,40.38461538
cq329_16g_sucrose_fa6_9_p6_12_d1_0004.jpg,16_001,16,76,16,60,5.5,control,22,3,21.05263158
cq329_16g_sucrose_fa6_9_p6_12_d1_0005.jpg,16_001,16,34,10,24,5.5,control,22,3,29.41176471
cq329_16g_sucrose_fa6_9_p6_12_d1_0006.jpg,16_001,16,49,12,37,5.5,control,22,3,24.48979592
cq329_16g_sucrose_fa6_9_p6_12_d1_0007.jpg,16_001,16,46,11,35,5.5,control,22,3,23.91304348
cq329_16g_sucrose_fa6_9_p6_12_d1_0008.jpg,16_001,16,46,12,34,5.5,control,22,3,26.08695652
cq329_16g_sucrose_fa6_9_p6_12_d1_0009.jpg,16_001,16,49,12,37,5.5,control,22,3,24.48979592
cq329_16g_sucrose_fa6_9_p6_12_d1_0010.jpg,16_001,16,50,28,22,5.5,control,22,3,56
cq329_16g_sucrose_fa6_9_p6_12_d2_0001.jpg,16_002,16,72,9,63,5.5,control,22,3,12.5
cq329_16g_sucrose_fa6_9_p6_12_d2_0002.jpg,16_002,16,49,9,40,5.5,control,22,3,18.36734694
cq329_16g_sucrose_fa6_9_p6_12_d2_0003.jpg,16_002,16,55,14,41,5.5,control,22,3,25.45454545
cq329_16g_sucrose_fa6_9_p6_12_d2_0004.jpg,16_002,16,47,15,32,5.5,control,22,3,31.91489362
cq329_16g_sucrose_fa6_9_p6_12_d2_0005.jpg,16_002,16,49,17,32,5.5,control,22,3,34.69387755
cq329_16g_sucrose_fa6_9_p6_12_d2_0006.jpg,16_002,16,53,15,38,5.5,control,22,3,28.30188679
cq329_16g_sucrose_fa6_9_p6_12_d2_0007.jpg,16_002,16,62,9,53,5.5,control,22,3,14.51612903
cq329_16g_sucrose_fa6_9_p6_12_d2_0008.jpg,16_002,16,42,8,34,5.5,control,22,3,19.04761905
cq329_16g_sucrose_fa6_9_p6_12_d2_0009.jpg,16_002,16,50,14,36,5.5,control,22,3,28
cq329_16g_sucrose_fa6_9_p6_12_d2_0010.jpg,16_002,16,47,14,33,5.5,control,22,3,29.78723404
cq329_16g_sucrose_fa6_9_p6_12_d3_0001.jpg,16_003,16,62,18,44,5.5,control,22,3,29.03225806
cq329_16g_sucrose_fa6_9_p6_12_d3_0002.jpg,16_003,16,76,26,50,5.5,control,22,3,34.21052632
cq329_16g_sucrose_fa6_9_p6_12_d3_0003.jpg,16_003,16,52,12,40,5.5,control,22,3,23.07692308
cq329_16g_sucrose_fa6_9_p6_12_d3_0004.jpg,16_003,16,53,17,36,5.5,control,22,3,32.0754717
cq329_16g_sucrose_fa6_9_p6_12_d3_0005.jpg,16_003,16,82,22,60,5.5,control,22,3,26.82926829
cq329_16g_sucrose_fa6_9_p6_12_d3_0006.jpg,16_003,16,85,26,59,5.5,control,22,3,30.58823529
cq329_16g_sucrose_fa6_9_p6_12_d3_0007.jpg,16_003,16,82,22,60,5.5,control,22,3,26.82926829
cq329_16g_sucrose_fa6_9_p6_12_d3_0008.jpg,16_003,16,75,25,50,5.5,control,22,3,33.33333333
cq329_16g_sucrose_fa6_9_p6_12_d3_0009.jpg,16_003,16,102,29,73,5.5,control,22,3,28.43137255
cq329_16g_sucrose_fa6_9_p6_12_d3_0010.jpg,16_003,16,68,24,44,5.5,control,22,3,35.29411765
cq329_16gsucrose_FA6_13_p6_17_d1_0001.jpg,16_004,16,50,4,46,5.5,control,22,3,8
cq329_16gsucrose_FA6_13_p6_17_d1_0002.jpg,16_004,16,65,11,54,5.5,control,22,3,16.92307692
cq329_16gsucrose_FA6_13_p6_17_d1_0003.jpg,16_004,16,87,6,81,5.5,control,22,3,6.896551724
cq329_16gsucrose_FA6_13_p6_17_d1_0004.jpg,16_004,16,108,4,104,5.5,control,22,3,3.703703704
cq329_16gsucrose_FA6_13_p6_17_d1_0005.jpg,16_004,16,60,5,55,5.5,control,22,3,8.333333333
cq329_16gsucrose_FA6_13_p6_17_d1_0006.jpg,16_004,16,45,7,38,5.5,control,22,3,15.55555556
cq329_16gsucrose_FA6_13_p6_17_d1_0007.jpg,16_004,16,90,13,77,5.5,control,22,3,14.44444444
cq329_16gsucrose_FA6_13_p6_17_d1_0008.jpg,16_004,16,49,6,43,5.5,control,22,3,12.24489796
cq329_16gsucrose_FA6_13_p6_17_d1_0009.jpg,16_004,16,82,11,71,5.5,control,22,3,13.41463415
cq329_16gsucrose_FA6_13_p6_17_d1_0010.jpg,16_004,16,71,14,57,5.5,control,22,3,19.71830986
cq329_16gsucrose_FA6_13_p6_17_d2_0001.jpg,16_005,16,66,7,59,5.5,control,22,3,10.60606061
cq329_16gsucrose_FA6_13_p6_17_d2_0002.jpg,16_005,16,35,5,30,5.5,control,22,3,14.28571429
cq329_16gsucrose_FA6_13_p6_17_d2_0003.jpg,16_005,16,35,9,26,5.5,control,22,3,25.71428571
cq329_16gsucrose_FA6_13_p6_17_d2_0004.jpg,16_005,16,25,9,16,5.5,control,22,3,36
cq329_16gsucrose_FA6_13_p6_17_d2_0005.jpg,16_005,16,19,6,13,5.5,control,22,3,31.57894737
cq329_16gsucrose_FA6_13_p6_17_d2_0006.jpg,16_005,16,75,18,57,5.5,control,22,3,24
cq329_16gsucrose_FA6_13_p6_17_d2_0007.jpg,16_005,16,45,11,34,5.5,control,22,3,24.44444444
cq329_16gsucrose_FA6_13_p6_17_d2_0008.jpg,16_005,16,39,8,31,5.5,control,22,3,20.51282051
cq329_16gsucrose_FA6_13_p6_17_d2_0009.jpg,16_005,16,46,10,36,5.5,control,22,3,21.73913043
cq329_16gsucrose_FA6_13_p6_17_d2_0010.jpg,16_005,16,22,6,16,5.5,control,22,3,27.27272727
cq329_16gsucrose_FA6_13_p6_17_d3_0001.jpg,16_006,16,18,10,8,5.5,control,22,3,55.55555556
